Humidity,Temperature
65,23
65,23
65,23
65,23
65,23
65,23
65,23
65,23
65,23
65,23
65,23
65,23
65,23
65,23
65,23
65,23
65,23
65,23
65,23
65,23
65,23
66,23
66,23
66,23
66,23
66,23
66,23
66,23
66,23
66,23
69,23
69,23
69,23
69,23
69,23
69,23
69,23
69,23
69,23
69,23
69,23
69,23
69,23
69,23
69,23
69,23
69,23
69,23
69,23
69,23
69,23
77,23
77,23
77,23
77,23
77,23
77,23
77,23
77,23
77,23
77,23
77,23
77,23
77,23
77,23
77,23
77,23
77,23
77,23
77,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,23
86,27
86,27
86,27
86,27
86,27
86,27
86,27
86,27
86,27
86,27
86,27
86,27
86,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,23
96,23
96,23
96,23
96,23
96,23
96,23
96,23
96,23
